"method","beta0_hat","beta0_lwr","beta0_upr","beta1_hat","beta1_lwr","beta1_upr","time_sec","iter"
"Newton",0.988791488616607,0.67332189518428,1.30426108204893,0.291520412120743,-0.0528319793007066,0.635872803542193,0.00900000000001455,5
"MM",0.988775087389738,0.673307099467614,1.30424307531186,0.291503864670508,-0.0528461876217962,0.635853916962812,0.0249999999999773,200
"glm",0.988791488615999,0.673322016244395,1.3042609609876,0.291520412120534,-0.0528318457648951,0.635872670005963,0.00200000000000955,4
"optim_BFGS",0.98879146717119,0.673321872007827,1.30426106233455,0.291520403154365,-0.052831991030027,0.635872797338756,0.00200000000000955,25
